date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20160510,25980,26000,25760,25920,8559550,9.35,1.25,14.08,1.007481674,1.003622577,1.030032217,1.03373072,1.000280191,1.001606444,1.00230493,1.005539005
20160511,25920,25980,25740,25840,8834400,9.35,1.25,14.08,1.008851149,1.008445739,1.034063597,1.038738359,1.000469789,1.002106197,1.002916948,1.00607561
20160512,25840,25840,25500,25620,7615100,9.35,1.25,14.08,1.008583182,1.009151958,1.033236038,1.039951635,0.999738028,1.001370811,1.00224366,1.00535365
20160513,25620,25620,25020,25060,12284900,9.35,1.25,14.08,1.004692763,1.007405687,1.030165749,1.038531281,0.9999458,1.001481481,1.002426186,1.005495884
20160516,25060,25260,24940,24960,11720150,9.35,1.25,14.08,0.997798071,1.002667292,1.024249278,1.033704044,0.999972898,1.001279981,1.002358215,1.00537094
20160517,24980,25300,24980,25280,9183550,9.35,1.25,14.08,0.991167169,0.994767819,1.014414924,1.025284826,0.999719941,1.000868275,1.002083524,1.005019725
20160518,25280,25420,25100,25360,9169600,9.35,1.25,14.08,0.979562772,0.978303002,0.995707973,1.007325108,0.999503005,1.000298435,1.00161941,1.004491499
20160519,25360,25540,25320,25400,10012450,9.35,1.25,14.08,0.980349443,0.973446212,0.98834981,1.000740693,0.998490355,0.998835724,1.000233936,1.003025437
20160520,25400,25600,25380,25380,7960550,9.35,1.25,14.08,0.993908123,0.982421187,0.995555063,1.008889302,0.99993671,1.000031648,1.001495671,1.004226082
20160523,25380,25720,25380,25720,8112550,9.35,1.25,14.08,1.00578435,0.991897588,1.00320925,1.017811328,0.999782951,0.999577293,1.001077596,1.003750255
20160524,25720,25780,25360,25420,10434600,9.35,1.25,14.08,1.00340253,0.988263049,0.997377424,1.012967206,1.000958591,1.000718771,1.002279658,1.004899207
20160525,25660,25960,25480,25900,11862750,9.35,1.25,14.08,1.004166256,0.991614889,0.998687426,1.015346534,1.000714344,1.000488175,1.00213173,1.004688911
20160526,25980,26060,25900,25920,12653650,9.35,1.25,14.08,0.99965125,0.990621395,0.995744557,1.01336728,1.000361549,1.000442934,1.002172468,1.004661718
20160527,26000,26020,25460,25640,13744550,9.35,1.25,14.08,1.00295281,0.996377771,0.999992252,1.018703598,0.999638451,0.999676853,1.001456373,1.003859952
20160530,25940,25940,25480,25600,10315350,9.35,1.25,14.08,1.003398492,0.997676131,1.000025762,1.019423584,0.999159383,0.999186477,1.000967403,1.003289766
20160531,25600,26000,25360,25840,62527700,9.35,1.25,14.08,1.009519227,1.00698381,1.008544254,1.028754169,0.999312845,0.999073467,1.000826287,1.003090271
20160601,25960,26820,25900,26660,23504000,9.35,1.25,14.08,1.008682984,1.008552198,1.010189042,1.03095852,1.001021589,1.000777303,1.002587395,1.004823333
20160602,27000,27440,26920,27300,23806950,9.35,1.25,14.08,1.006465287,1.00998464,1.011101502,1.032476447,1.000822643,1.000598769,1.002409973,1.004615414
20160603,27400,27580,27280,27540,17066200,9.35,1.25,14.08,1.00401644,1.009859879,1.010846595,1.032690264,1.001192865,1.0012743,1.003038963,1.00525698
20160607,27720,28040,27600,27960,23142150,9.35,1.25,14.08,1.005140015,1.013723558,1.01504731,1.037334928,1.001210249,1.001805156,1.003535829,1.005753981
20160608,28380,28380,27780,28120,18808100,9.35,1.25,14.08,1.002443461,1.012327835,1.01352512,1.035734941,0.99725369,0.997729147,0.999285621,1.00144394
20160609,28160,28600,28120,28600,25768750,9.35,1.25,14.08,1.002553745,1.01381218,1.014707045,1.036817448,0.998436413,0.998574047,0.999947198,1.002074616
20160610,28480,28500,28080,28120,14484050,9.35,1.25,14.08,1.003398552,1.016170353,1.016812356,1.0387411,0.999376181,0.999265512,1.000496296,1.002608408
20160613,27920,27920,27240,27420,15248300,9.35,1.25,14.08,0.989133317,1.000698407,1.000645629,1.021754171,1.000009045,0.999550241,1.000653134,1.002735117
20160614,27420,27720,27380,27600,12273050,9.35,1.25,14.08,0.988662926,0.997468683,0.996816767,1.017053388,1.000642482,0.999735556,1.000707379,1.002776801
20160615,27700,28320,27660,28260,15334450,9.35,1.25,14.08,0.993762665,1.000037387,0.999215058,1.018893926,0.999936673,0.999342241,1.000201343,1.002227575
20160616,28260,28340,27900,28180,14621550,9.35,1.25,14.08,0.980111069,0.979547928,0.978834015,0.997356022,1.000443174,1.000108496,1.000912402,1.002892217
20160617,28200,28700,28200,28520,16419700,9.35,1.25,14.08,0.9860501,0.977583638,0.977151646,0.995065764,1.000090436,0.9997785,1.000582848,1.002527813
20160620,28540,28960,28520,28620,13515800,9.35,1.25,14.08,1.002645805,0.991825854,0.991736146,1.009590479,0.999330674,0.99892409,0.999640352,1.00154142
20160621,28640,28980,28520,28960,10020550,9.35,1.25,14.08,1.003345694,0.991424813,0.991180291,1.00875914,0.999357675,0.998781643,0.999416445,1.001294315
20160622,28920,29000,28620,28900,8948250,9.35,1.25,14.08,1.004703934,0.990858541,0.990602045,1.007912399,0.999945719,0.999439381,0.999966074,1.001808204
20160623,28880,28900,28540,28600,11256300,9.35,1.25,14.08,0.992272361,0.979081158,0.978222793,0.994987046,1.000461417,0.99993218,1.000367139,1.002187205
20160624,28900,28900,27200,28000,20552600,9.35,1.25,14.08,0.953849202,0.93520295,0.932294465,0.947712211,1.002604284,1.002509098,1.002940602,1.004764039
20160627,28000,28100,27700,27960,11839000,9.35,1.25,14.08,0.966901686,0.939537863,0.934538644,0.949163605,1.002367227,1.002940385,1.00344688,1.005250593
20160628,27800,28080,27580,27980,10718950,9.35,1.25,14.08,0.99224026,0.958019601,0.951387078,0.965700618,1.001038281,1.002201001,1.002787909,1.004568692
20160629,28160,28240,27820,27920,10527050,9.35,1.25,14.08,1.01374707,0.975417984,0.967084607,0.981346924,1.000523315,1.002171266,1.002857059,1.00461168
20160630,28160,28900,27940,28500,13671700,9.35,1.25,14.08,1.023003181,0.984792495,0.97497211,0.989011992,1.000432795,1.002654497,1.003373063,1.005107215
20160701,28540,29580,28540,29320,14393600,9.35,1.25,14.08,1.025369764,0.999400458,0.988518152,1.002443761,1.000504827,1.002800994,1.003561921,1.005282598
20160704,29280,29480,29020,29320,7995000,9.35,1.25,14.08,1.018974279,1.006057726,0.994318625,1.008131818,1.000892286,1.003270454,1.004054342,1.005773803
20160705,29320,29500,29240,29380,7870350,9.35,1.25,14.08,1.015700331,1.013645626,1.000967612,1.014679497,1.00079285,1.003439499,1.004232519,1.005948709
20160706,28940,29040,28240,28420,16749150,9.35,1.25,14.08,1.000528352,1.00443897,0.990812308,1.004067856,1.000090074,1.002697974,1.00369126,1.005398027
20160707,28420,29000,28320,29000,11495200,9.35,1.25,14.08,1.009618181,1.020418656,1.00592979,1.019098254,1.000567302,1.003173428,1.00435826,1.006067886
20160708,29000,29500,28980,29200,13498150,9.35,1.25,14.08,1.002332855,1.016565763,1.001097518,1.013929167,0.999828927,1.00231296,1.003634819,1.005339646
20160711,29200,30000,29200,29780,14056800,9.35,1.25,14.08,1.006411595,1.023267693,1.007726504,1.020596855,1.000018007,1.002310177,1.003765514,1.005471538
20160712,29980,30100,29200,29280,11024700,9.35,1.25,14.08,1.007574848,1.025936695,1.010688319,1.023541562,0.999819917,1.001831518,1.003389361,1.005106698
20160713,29920,29920,29260,29620,10009900,9.35,1.25,14.08,1.007282448,1.030100396,1.015212935,1.027994153,1.000486132,1.00241505,1.004129095,1.005864564
20160714,29620,30000,29520,30000,12430250,9.35,1.25,14.08,1.006139802,1.029369722,1.016014144,1.028756431,1.000522113,1.002265682,1.00409924,1.005847724
20160715,30000,30440,29720,30360,11623150,9.35,1.25,14.08,0.999566088,1.023287316,1.011627903,1.024043122,0.999765958,1.00132756,1.003263969,1.005024822
